id	track_name	artist	album	decade
742	(Everything I Do) I Do It For You	Bryan Adams	Waking Up The Neighbours	1990
743	The Promise Of A New Day	Paula Abdul	Spellbound	1990
744	I Adore Mi Amor	Color Me Badd	C.M.B.	1990
745	Good Vibrations	Marky Mark And The Funky Bunch	Music For The People	1990
746	Emotions	Mariah Carey	Emotions	1990
747	Romantic	Karyn White	Ritual Of Love	1990
748	When a Man Loves a Woman	Michael Bolton	The Essential Michael Bolton	1990
749	Black or White - Single Version	Michael Jackson	The Essential Michael Jackson	1990
750	All 4 Love	Color Me Badd	C.M.B.	1990
751	Don't Let the Sun Go Down on Me	George Michael	Ladies And Gentlemen... The Best Of George Michael	1990
752	I'm Too Sexy	Right Said Fred	Up	1990
753	To Be With You	Mr. Big	Deep Cuts: The Best Of The Ballads	1990
754	Save The Best For Last	Vanessa Williams	The Best Of Vanessa Williams 20th Century Masters The Millennium Collection	1990
755	Jump	Kris Kross	Totally Krossed Out	1990
756	I'll Be There (feat. Trey Lorenz) - Live at MTV Unplugged, Kaufman Astoria StuLive at MTV Unplugged, Kaufman Astoria Studios, New York - March 1992dios, New York - March 1992	Mariah Carey	#1 to Infinity	1990
757	Baby Got Back	Sir Mix-A-Lot	Mack Daddy	1990
758	This Used to Be My Playground	Madonna	Something to Remember	1990
759	End Of The Road	Boyz II Men	The Best Of Boyz II Men 20th Century Masters The Millennium Collection	1990
760	How Do You Talk To An Angel?	The Heights	The Heights	1990
761	I Will Always Love You	Whitney Houston	The Bodyguard - Original Soundtrack Album	1990
762	A Whole New World (Aladdin's Theme)	Various Artists	Aladdin (Original Motion Picture Soundtrack)	1990
763	Informer	Snow	12 Inches Of Snow	1990
764	Freak Me	Silk	Lose Control	1990
765	That's The Way Love Goes	Janet Jackson	Janet	1990
766	Weak	SWV	It's About Time	1990
767	(I Can't Help) Falling In Love With You	UB40	Promises And Lies	1990
768	Dreamlover	Mariah Carey	Music Box	1990
769	I'd Do Anything For Love (But I Won't Do That) - Single Edit	Meat Loaf	Bat Out Of Hell II: Back Into Hell	1990
770	Again	Janet Jackson	Janet	1990
771	Hero	Mariah Carey	Music Box	1990
772	All for Love	The BNFL Band, Richard Evans & Manfred Obrecht	World Hits 2	1990
773	The Power of Love - Radio Edit	Céline Dion	The Essential Celine Dion	1990
774	The Sign	Ace of Base	The Sign	1990
775	Bump n' Grind	R. Kelly	12 Play	1990
776	I Swear	All-4-One	Rhino Hi-Five: All-4-One	1990
777	Stay (I Missed You) - Storytellers	Various Artists	VH1 Storytellers	1990
778	I'll Make Love To You	Boyz II Men	II	1990
779	On Bended Knee	Boyz II Men	II	1990
780	Here Comes the Hotstepper - Heartical Mix	Ini Kamoze	Here Comes The Hotstepper	1990
781	Creep	TLC	Crazysexycool	1990
782	Take a Bow	Madonna	Something to Remember	1990
783	This Is How We Do It	Montell Jordan	This Is How We Do It	1990
784	Have You Ever Really Loved A Woman?	Bryan Adams	18 Til I Die	1990
785	Waterfalls	TLC	Crazysexycool	1990
786	Kiss from a Rose	Seal	Seal	1990
787	You Are Not Alone - Radio Edit	Michael Jackson	Number Ones	1990
788	Gangsta's Paradise (feat. L.V.)	Coolio	Gangsta's Paradise (US Release)	1990
789	Fantasy	Mariah Carey	Daydream	1990
790	Exhale - Shoop Shoop	Whitney Houston	Whitney The Greatest Hits	1990
791	One Sweet Day	Mariah Carey	Daydream	1990
792	Because You Loved Me (Theme from "Up Close and Personal")	Céline Dion	The Essential Celine Dion	1990
793	Always Be My Baby	Mariah Carey	Daydream	1990
794	Tha Crossroads	Bone Thugs-N-Harmony	E.Eternal 1999	1990
795	How Do You Want It	2Pac	All Eyez On Me	1990
796	California Love - Original Version	2Pac	The Best of 2Pac	1990
797	You're Makin' Me High	Toni Braxton	Secrets	1990
798	Let It Flow - from "Waiting to Exhale" Original Soundtrack	Toni Braxton	Secrets	1990
799	No Diggity	Blackstreet	Another Level	1990
800	We Belong Together	Mariah Carey	The Emancipation of Mimi	2000
801	Yeah! (feat. Lil Jon & Ludacris)	Usher	Confessions (Expanded Edition)	2000
802	Low (feat. T-Pain)	Flo Rida	Mail on Sunday	2000
803	I Gotta Feeling	Black Eyed Peas	THE E.N.D. (THE ENERGY NEVER DIES)	2000
804	How You Remind Me	Nickelback	Silver Side Up	2000
805	No One	Alicia Keys	As I Am (Expanded Edition)	2000
806	Boom Boom Pow	Black Eyed Peas	THE E.N.D. (THE ENERGY NEVER DIES)	2000
807	Let Me Love You	Mario	Let Me Love You	2000
808	Gold Digger	Kanye West	Late Registration	2000
809	Apologize	Timbaland	Shock Value	2000
810	Dilemma	Nelly	Nellyville	2000
811	Family Affair	Mary J. Blige	No More Drama	2000
812	Big Girls Don't Cry (Personal)	Fergie	The Dutchess	2000
813	Maria Maria (feat. The Product G&B)	Santana	Supernatural (Remastered)	2000
814	U Got It Bad	Usher	8701	2000
815	Whatever You Like	T.I.	Paper Trail	2000
816	Bleeding Love	Leona Lewis	Spirit	2000
817	Independent Women, Pt. 1	Destiny's Child	Survivor	2000
818	Foolish	Ashanti	Ashanti	2000
819	Hey Ya! - Radio Mix	OutKast	Speakerboxxx/The Love Below	2000
820	Burn	Usher	Confessions (Expanded Edition)	2000
821	The Way You Move (feat. Sleepy Brown)	OutKast	Speakerboxxx/The Love Below	2000
822	Crank That (Soulja Boy)	Soulja Boy	souljaboytellem.com	2000
823	In Da Club	50 Cent	Get Rich Or Die Tryin'	2000
824	Irreplaceable	Beyoncé	B'Day Deluxe Edition	2000
825	Hanging By A Moment	Lifehouse	No Name Face	2000
826	Breathe	Faith Hill	Breathe	2000
827	Lose Yourself	Various Artists	SHADYXV	2000
828	Fallin'	Alicia Keys	Songs In A Minor (Expanded Edition)	2000
829	I'm Real - Murder Remix	Ja Rule	Pain Is Love	2000
830	Goodies (feat. Petey Pablo)	Ciara	Goodies	2000
831	Hot In Herre	Nelly	Nellyville	2000
832	Smooth (feat. Rob Thomas)	Santana	Supernatural (Remastered)	2000
833	Run It! (feat. Juelz Santana)	Chris Brown	Chris Brown (Expanded Edition)	2000
834	Just Dance	Lady Gaga	The Fame	2000
835	My Boo	Usher	Confessions (Expanded Edition)	2000
836	Live Your Life	T.I.	Paper Trail	2000
837	Baby Boy (feat. Sean Paul)	Beyoncé	Dangerously In Love	2000
838	Lollipop	Lil Wayne	Tha Carter III	2000
839	Crazy In Love (feat. Jay-Z)	Beyoncé	Dangerously In Love	2000
840	Hollaback Girl	Gwen Stefani	Love Angel Music Baby (Deluxe Version)	2000
841	Poker Face	Lady Gaga	The Fame	2000
842	Kryptonite	3 Doors Down	The Better Life	2000
843	Promiscuous	Nelly Furtado	Loose	2000
844	Lean Back	Terror Squad	True Story	2000
845	With Arms Wide Open	Creed	Human Clay	2000
846	Since U Been Gone	Kelly Clarkson	Breakaway	2000
847	Drop It Like It's Hot	Snoop Dogg	R&G (Rhythm & Gangsta): The Masterpiece	2000
848	Viva La Vida	Coldplay	Viva La Vida or Death and All His Friends	2000
849	Get Busy	Sean Paul	Dutty Rock	2000
850	If I Ain't Got You	Alicia Keys	The Diary Of Alicia Keys	2000
851	Candy Shop	50 Cent	The Massacre	2000
852	The Way I Are	Timbaland	Shock Value	2000
853	I Knew I Loved You	Savage Garden	Affirmation	2000
854	Everything You Want	Vertical Horizon	Everything You Want	2000
855	Bad Day	Daniel Powter	Daniel Powter	2000
856	Umbrella	Rihanna	Good Girl Gone Bad: Reloaded	2000
857	How to Save a Life	The Fray	How To Save A Life	2000
858	One, Two Step (feat. Missy Elliott)	Ciara	Goodies	2000
859	SexyBack (feat. Timbaland)	Justin Timberlake	FutureSex/LoveSounds	2000
860	I'm Yours	Jason Mraz	We Sing. We Dance. We Steal Things.	2000
861	Ain't It Funny (feat. Ja Rule & Cadillac Tah) - Murder Remix	Jennifer Lopez	J To Tha L-O! The Remixes	2000
862	Temperature	Sean Paul	The Trinity	2000
863	Disturbia	Rihanna	Good Girl Gone Bad: Reloaded	2000
864	All For You	Janet Jackson	Best Of Number Ones	2000
865	I Kissed A Girl	Katy Perry	One Of The Boys	2000
866	Unwell - 2007 Remaster	Matchbox Twenty	Exile on Mainstream	2000
867	Here Without You	3 Doors Down	Away From The Sun	2000
868	Hot N Cold	Katy Perry	One Of The Boys	2000
869	Get Low	Lil Jon & The East Side Boyz	Kings Of Crunk	2000
870	Buy U a Drank (Shawty Snappin')	T-Pain	Epiphany	2000
871	Right Thurr	Chingy	Jackpot	2000
872	Love Story	Taylor Swift	Fearless	2000
873	Ignition - Remix	R. Kelly	Chocolate Factory	2000
874	I Wanna Know	Joe	My Name Is Joe	2000
875	Smack That	Akon	Konvicted	2000
876	Love Song	Sara Bareilles	Little Voice	2000
877	Bent	Matchbox Twenty	Mad Season	2000
878	Bubbly	Colbie Caillat	Coco	2000
879	Right Round	Flo Rida	R.O.O.T.S. (Route of Overcoming the Struggle)	2000
880	It Wasn't Me	Shaggy	The Boombastic Collection - Best of Shaggy	2000
881	Always On Time	Ja Rule	Pain Is Love	2000
882	Complicated	Avril Lavigne	Let Go	2000
883	My Humps	Black Eyed Peas	Monkey Business	2000
884	Love in This Club	Usher	Here I Stand	2000
885	You're Beautiful	James Blunt	Back to Bedlam	2000
886	Stand Up	Ludacris	Chicken - N - Beer	2000
887	Check On It (feat. Bun B & Slim Thug)	Beyoncé	B'Day	2000
888	Photograph	Nickelback	All the Right Reasons	2000
889	U Remind Me	Usher	8701	2000
890	Stronger	Kanye West	Graduation	2000
891	So What	P!nk	Funhouse (Expanded Edition)	2000
892	Kiss Kiss	Chris Brown	Exclusive (Expanded Edition)	2000
893	Girlfriend	Avril Lavigne	The Best Damn Thing (Expanded Edition)	2000
894	Let Me Blow Ya Mind	Eve	Scorpion	2000
895	Work It	Missy Elliott	Under Construction	2000
896	Hey There Delilah	Plain White T's	All That We Needed	2000
897	Try Again	Aaliyah Tribute	A Salute To Aaliyah	2000
898	Single Ladies (Put a Ring on It)	Beyoncé	I AM...SASHA FIERCE	2000
899	Forever	Chris Brown	Forever	2000
900	Airplanes (feat. Hayley Williams)	B.o.B	B.o.B Presents: The Adventures of Bobby Ray	2010
901	Love The Way You Lie	Eminem	Recovery	2010
902	California Gurls	Katy Perry	Katy Perry - Teenage Dream: The Complete Confection	2010
903	Only Girl (In The World)	Rihanna	Loud	2010
904	Firework	Katy Perry	Katy Perry - Teenage Dream: The Complete Confection	2010
905	Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)	Shakira	Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)	2010
906	Teenage Dream	Katy Perry	Katy Perry - Teenage Dream: The Complete Confection	2010
907	All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)	DJ Khaled	Victory	2010
908	DJ Got Us Fallin' In Love (feat. Pitbull)	Usher	Raymond v Raymond (Expanded Edition)	2010
909	What Makes You Beautiful	One Direction	Up All Night	2010
910	Last Friday Night (T.G.I.F.)	Katy Perry	Katy Perry - Teenage Dream: The Complete Confection	2010
911	Price Tag	Jessie J	Who You Are (Platinum Edition)	2010
912	Paradise	Coldplay	Mylo Xyloto	2010
913	Grenade	Bruno Mars	Doo-Wops & Hooligans	2010
914	We Are Young (feat. Janelle Monáe)	fun.	Some Nights	2010
915	Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)	Pitbull	Planet Pit (Deluxe Version)	2010
916	Ai Se Eu Te Pego - Ao Vivo	Michel Teló	Na Balada (Ao Vivo)	2010
917	Someone Like You	Adele	21	2010
918	Moves Like Jagger	Maroon 5	Singles	2010
919	We Found Love	Rihanna	Talk That Talk	2010
920	Somebody That I Used To Know	Gotye	Making Mirrors	2010
921	Call Me Maybe	Carly Rae Jepsen	Kiss	2010
922	Party Rock Anthem	LMFAO	Sorry For Party Rocking	2010
923	Pumped Up Kicks	Foster The People	Torches	2010
924	Born This Way	Lady Gaga	Born This Way (International Special Edition Version)	2010
925	Super Bass	Nicki Minaj	Pink Friday	2010
926	S&M	Rihanna	Loud	2010
927	Stereo Hearts (feat. Adam Levine)	Gym Class Heroes	The Papercut Chronicles II	2010
928	Stronger (What Doesn't Kill You)	Kelly Clarkson	Stronger (Deluxe Version)	2010
929	Titanium (feat. Sia)	David Guetta	Nothing but the Beat (Ultimate Edition)	2010
930	E.T.	Katy Perry	Katy Perry - Teenage Dream: The Complete Confection	2010
931	Starships	Nicki Minaj	Pink Friday: Roman Reloaded The Re-Up (Explicit Version)	2010
932	Radioactive	Imagine Dragons	Night Visions	2010
933	Diamonds	Rihanna	Unapologetic (Deluxe)	2010
934	Thrift Shop (feat. Wanz)	Macklemore & Ryan Lewis	The Heist	2010
935	Let Her Go	Passenger	All The Little Lights	2010
936	Gangnam Style (강남스타일)	PSY	Gangnam Style (강남스타일)	2010
937	Harlem Shake	Baauer	Harlem Shake	2010
938	Latch	Disclosure	Settle (Deluxe Version)	2010
939	Locked out of Heaven	Bruno Mars	Unorthodox Jukebox	2010
940	One More Night	Maroon 5	Overexposed Track By Track	2010
941	We Are Never Ever Getting Back Together	Taylor Swift	Red (Big Machine Radio Release Special)	2010
942	Whistle	Flo Rida	Wild Ones	2010
943	Payphone	Maroon 5	Overexposed Track By Track	2010
944	Sexy And I Know It	LMFAO	Sorry For Party Rocking	2010
945	Mirrors	Justin Timberlake	The 20/20 Experience (Deluxe Version)	2010
946	Rap God	Eminem	The Marshall Mathers LP2 (Deluxe)	2010
947	Just Give Me a Reason (feat. Nate Ruess)	P!nk	The Truth About Love	2010
948	Dark Horse	Katy Perry	PRISM (Deluxe)	2010
949	Timber (feat. Ke$ha)	Pitbull	Global Warming: Meltdown (Deluxe Version)	2010
950	Wrecking Ball	Miley Cyrus	Bangerz (Deluxe Version)	2010
951	Royals	Lorde	Pure Heroine	2010
952	Get Lucky (feat. Pharrell Williams & Nile Rodgers)	Daft Punk	Random Access Memories	2010
953	Counting Stars	OneRepublic	Native	2010
954	Blurred Lines	Robin Thicke	Blurred Lines (Deluxe)	2010
955	Wake Me Up	Avicii	TRUE	2010
956	Roar	Katy Perry	PRISM (Deluxe)	2010
957	All of Me	John Legend	Love In The Future (Expanded Edition)	2010
958	Happy - From "Despicable Me 2"	Pharrell Williams	G I R L	2010
959	Animals	Maroon 5	V (Deluxe)	2010
960	Burn	Ellie Goulding	Halcyon Days	2010
961	Heart Attack	Demi Lovato	Demi	2010
962	Riptide	Vance Joy	Dream Your Life Away	2010
963	Rude	MAGIC!	Don't Kill the Magic	2010
964	Work Bitch	Britney Spears	Britney Jean (Deluxe Version)	2010
965	Can't Hold Us - feat. Ray Dalton	Macklemore & Ryan Lewis	The Heist	2010
966	Anaconda	Nicki Minaj	The Pinkprint (International Deluxe Explicit)	2010
967	Fancy	Iggy Azalea	The New Classic (Deluxe Version)	2010
968	Problem	Ariana Grande	My Everything (Deluxe)	2010
969	Stay With Me	Sam Smith	In The Lonely Hour	2010
970	Summer	Calvin Harris	Motion	2010
971	Blank Space	Taylor Swift	1989 (Deluxe)	2010
972	Chandelier	Sia	1000 Forms Of Fear	2010
973	All About That Bass	Meghan Trainor	Title (Deluxe)	2010
974	Bailando - Spanish Version	Enrique Iglesias	SEX AND LOVE (Deluxe Edition)	2010
975	Shake It Off	Taylor Swift	1989 (Deluxe)	2010
976	Thinking out Loud	Ed Sheeran	x (Deluxe Edition)	2010
977	Trap Queen	Fetty Wap	Fetty Wap (Deluxe)	2010
978	Bang Bang	Jessie J	Sweet Talker (Deluxe Version)	2010
979	Boom Clap	Charli XCX	SUCKER	2010
980	Can't Remember to Forget You (feat. Rihanna)	Shakira	Shakira. (Expanded Edition)	2010
981	I'm an Albatraoz	AronChupa	I'm an Albatraoz	2010
982	Take Me To Church	Hozier	Hozier	2010
983	Hotline Bling	Drake	Views	2010
984	Can't Feel My Face	The Weeknd	Beauty Behind The Madness	2010
985	Sugar	Maroon 5	V	2010
986	Stressed Out	Twenty One Pilots	Blurryface	2010
987	What Do You Mean?	Justin Bieber	Purpose (Deluxe)	2010
988	Love Yourself	Justin Bieber	Purpose (Deluxe)	2010
989	Lean On (feat. MØ & DJ Snake)	Major Lazer	Peace Is The Mission : Extended	2010
990	Faded	Alan Walker	Different World	2010
991	Love Me Like You Do - From "Fifty Shades Of Grey"	Ellie Goulding	Delirium (Deluxe)	2010
992	Sorry	Justin Bieber	Purpose (Deluxe)	2010
993	Hello	Adele	25	2010
994	See You Again (feat. Charlie Puth)	Wiz Khalifa	See You Again (feat. Charlie Puth)	2010
995	Uptown Funk (feat. Bruno Mars)	Mark Ronson	Uptown Special	2010
996	Watch Me (Whip / Nae Nae)	Silentó	Watch Me (Whip / Nae Nae)	2010
997	Stitches	Shawn Mendes	Handwritten	2010
998	The Hills	The Weeknd	Beauty Behind The Madness	2010
999	Elastic Heart	Sia	1000 Forms Of Fear	2010
